Abbey Road,Acton Central,Acton Town,Aldgate,Aldgate East,All Saints,Alperton,Amersham,Anerley,Angel,Archway,Arnos Grove,Arsenal,Baker Street,Balham,Bank and Monument,Barbican,Barking,Barkingside,Barons Court,Bayswater,Beckton,Beckton Park,Becontree,Belsize Park,Bermondsey,Bethnal Green,Blackfriars,Blackhorse Road,Blackwall,Bond Street,Borough,Boston Manor,Bounds Green,Bow Church,Bow Road,Brent Cross,Brentwood,Brixton,Brockley,Bromley-by-Bow,Brondesbury,Brondesbury Park,Bruce Grove,Buckhurst Hill,Burnt Oak,Bush Hill Park,Bushey,Caledonian Road,Caledonian Road & Barnsbury,Cambridge Heath,Camden Road,Camden Town,Canada Water,Canary Wharf,Canning Town,Cannon Street,Canonbury,Canons Park,Carpenders Park,Chadwell Heath,Chalfont & Latimer,Chalk Farm,Chancery Lane,Charing Cross,Chesham,Cheshunt,Chigwell,Chingford,Chiswick Park,Chorleywood,Clapham Common,Clapham High Street,Clapham Junction,Clapham North,Clapham South,Clapton,Cockfosters,Colindale,Colliers Wood,Covent Garden,Crossharbour,Crouch Hill,Croxley,Crystal Palace,Custom House,Cutty Sark,Cyprus,Dagenham East,Dagenham Heathway,Dalston Junction,Dalston Kingsland,Debden,Denmark Hill,Deptford Bridge,Devons Road,Dollis Hill,Ealing Broadway,Ealing Common,Earl's Court,East Acton,East Finchley,East Ham,East India,East Putney,Eastcote,Edgware,Edgware Road,Edmonton Green,Elephant & Castle,Elm Park,Elverson Road,Embankment,Emerson Park,Enfield Town,Epping,Euston,Euston Square,Fairlop,Farringdon,Finchley Central,Finchley Road,Finchley Road & Frognal,Finsbury Park,Forest Gate,Forest Hill,Fulham Broadway,Gallions Reach,Gants Hill,Gidea Park,Gloucester Road,Golders Green,Goldhawk Road,Goodge Street,Goodmayes,Gospel Oak,Grange Hill,Great Portland Street,Green Park,Greenford,Greenwich,Gunnersbury,Hackney Central,Hackney Downs,Hackney Wick,Haggerston,Hainault,Hammersmith,Hampstead,Hampstead Heath,Hanger Lane,Harlesden,Harold Wood,Harringay Green Lanes,Harrow & Wealdstone,Harrow-on-the-Hill,Hatch End,Hatton Cross,Headstone Lane,Heathrow Terminal 4,Heathrow Terminal 5,Heathrow Terminals 2 & 3,Hendon Central,Heron Quays,High Barnet,High Street Kensington,Highams Park,Highbury & Islington,Highgate,Hillingdon,Holborn,Holland Park,Holloway Road,Homerton,Honor Oak Park,Hornchurch,Hounslow Central,Hounslow East,Hounslow West,Hoxton,Hyde Park Corner,Ickenham,Ilford,Imperial Wharf,Island Gardens,Kennington,Kensal Green,Kensal Rise,Kensington,Kentish Town,Kentish Town West,Kenton,Kew Gardens,Kilburn,Kilburn High Road,Kilburn Park,King George V,King's Cross St. Pancras,Kingsbury,Knightsbridge,Ladbroke Grove,Lambeth North,Lancaster Gate,Langdon Park,Latimer Road,Leicester Square,Lewisham,Leyton,Leyton Midland Road,Leytonstone,Leytonstone High Road,Limehouse,Liverpool Street,London Bridge,London City Airport,London Fields,Loughton,Maida Vale,Manor House,Manor Park,Mansion House,Marble Arch,Maryland,Marylebone,Mile End,Mill Hill East,Moor Park,Moorgate,Morden,Mornington Crescent,Mudchute,Neasden,New Cross,New Cross Gate,Newbury Park,North Acton,North Ealing,North Greenwich,North Harrow,North Wembley,Northfields,Northolt,Northwick Park,Northwood,Northwood Hills,Norwood Junction,Notting Hill Gate,Oakwood,Old Street,Osterley,Oval,Oxford Circus,Paddington,Park Royal,Parsons Green,Peckham Rye,Penge West,Perivale,Piccadilly Circus,Pimlico,Pinner,Plaistow,Pontoon Dock,Poplar,Preston Road,Prince Regent,Pudding Mill Lane,Putney Bridge,Queen's Park,Queens Road Peckham,Queensbury,Queensway,Ravenscourt Park,Rayners Lane,Rectory Road,Redbridge,Regent's Park,Richmond,Rickmansworth,Roding Valley,Romford,Rotherhithe,Royal Albert,Royal Oak,Royal Victoria,Ruislip,Ruislip Gardens,Ruislip Manor,Russell Square,Seven Kings,Seven Sisters,Shadwell,Shenfield,Shepherd's Bush,Shepherd's Bush Market,Shoreditch High Street,Silver Street,Sloane Square,Snaresbrook,South Acton,South Ealing,South Hampstead,South Harrow,South Kensington,South Kenton,South Quay,South Ruislip,South Tottenham,South Wimbledon,South Woodford,Southbury,Southfields,Southgate,Southwark,St James Street,St. James's Park,St. John's Wood,St. Paul's,Stamford Brook,Stamford Hill,Stanmore,Star Lane,Stepney Green,Stockwell,Stoke Newington,Stonebridge Park,Stratford,Stratford High Street,Stratford International,Sudbury Hill,Sudbury Town,Surrey Quays,Swiss Cottage,Sydenham,Temple,Theobalds Grove,Theydon Bois,Tooting Bec,Tooting Broadway,Tottenham Court Road,Tottenham Hale,Totteridge & Whetstone,Tower Gateway,Tower Hill,Tufnell Park,Turkey Street,Turnham Green,Turnpike Lane,Upminster,Upminster Bridge,Upney,Upper Holloway,Upton Park,Uxbridge,Vauxhall,Victoria,Walthamstow Central,Walthamstow Queens Road,Wandsworth Road,Wanstead,Wanstead Park,Wapping,Warren Street,Warwick Avenue,Waterloo,Watford,Watford High Street,Watford Junction,Wembley Central,Wembley Park,West Acton,West Brompton,West Croydon,West Finchley,West Ham,West Hampstead,West Harrow,West India Quay,West Kensington,West Ruislip,West Silvertown,Westbourne Park,Westferry,Westminster,White City,White Hart Lane,Whitechapel,Willesden Green,Willesden Junction,Wimbledon,Wimbledon Park,Wood Green,Wood Lane,Wood Street,Woodford,Woodgrange Park,Woodside Park,Woolwich Arsenal,All
,,,,,3.0,,,,,,,,,,255.0,,,,,,0.0,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,125.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,1.0,23.0,2.0,,,,,,,33.0,4.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.0,,,,,,,,,,,,,,,,,,,,,,,173.0,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,126.0,,,,,44.0,,,2.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,62.0,,,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,3.0,,,,,55.0,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,4.0,,4.0,,,,,,,,,,,,,,,,1151
,,6.0,18.0,71.0,,0.0,0.0,,5.0,5.0,0.0,0.0,21.0,4.0,166.0,6.0,22.0,0.0,35.0,9.0,,,0.0,0.0,2.0,1.0,94.0,0.0,,7.0,6.0,0.0,0.0,,5.0,0.0,,4.0,,6.0,,,,0.0,1.0,,,0.0,,,,18.0,25.0,44.0,25.0,87.0,,0.0,,,0.0,0.0,2.0,1.0,0.0,,0.0,,24.0,0.0,5.0,,,8.0,1.0,,0.0,1.0,2.0,0.0,,,0.0,,,,,3.0,10.0,,,0.0,,,,2.0,16.0,3.0,86.0,0.0,3.0,20.0,,5.0,0.0,2.0,10.0,,11.0,2.0,,,,,1.0,34.0,0.0,0.0,5.0,0.0,1.0,,3.0,,,51.0,,1.0,,105.0,1.0,0.0,20.0,,,0.0,0.0,6.0,0.0,,55.0,,,,,0.0,158.0,0.0,,1.0,3.0,,,0.0,0.0,,0.0,,0.0,4.0,6.0,0.0,,0.0,118.0,,4.0,0.0,0.0,3.0,2.0,1.0,,,0.0,0.0,0.0,0.0,,3.0,0.0,,,,4.0,0.0,,0.0,4.0,,0.0,6.0,1.0,,0.0,,21.0,3.0,5.0,0.0,7.0,0.0,,0.0,6.0,,6.0,,3.0,,,64.0,9.0,,,0.0,2.0,0.0,,127.0,6.0,,30.0,8.0,1.0,1.0,19.0,7.0,13.0,,0.0,,,0.0,1.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,21.0,0.0,11.0,0.0,10.0,59.0,80.0,0.0,30.0,,,0.0,23.0,5.0,0.0,7.0,,,0.0,,,24.0,4.0,,0.0,2.0,20.0,0.0,,0.0,12.0,2.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,1.0,,6.0,,,2.0,1.0,,,233.0,0.0,,0.0,,0.0,380.0,0.0,,0.0,,0.0,0.0,,7.0,1.0,0.0,,411.0,9.0,2.0,10.0,,0.0,,10.0,3.0,,1.0,26.0,,,0.0,0.0,,1.0,,70.0,,0.0,0.0,5.0,44.0,2.0,2.0,,133.0,2.0,,23.0,1.0,2.0,0.0,1.0,,15.0,0.0,11.0,59.0,3.0,,,0.0,,,42.0,10.0,52.0,0.0,,,1.0,2.0,0.0,161.0,,0.0,8.0,0.0,0.0,,38.0,0.0,,1.0,,59.0,2.0,,44.0,0.0,6.0,5.0,1.0,1.0,1.0,,1.0,,0.0,,4081
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335
,,,,,,,,,,,,,,,,,2.0,,,,,,,,,43.0,,,,,,,,,,,,,,,0.0,,48.0,,,6.0,,,0.0,29.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,,25.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,,,,,,,,,,,,,0.0,1.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,602.0,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,0.0,,,,,,,,,,,,,743.0,,,,,,82.0,,,,,,,,,,,,,,,,,,0.0,,,,,46.0,,,,,39.0,,0.0,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,36.0,,,0.0,,,,,0.0,,0.0,,,1803
,,1.0,5.0,23.0,,,,,15.0,0.0,,0.0,10.0,1.0,198.0,17.0,4.0,2.0,2.0,,,,0.0,2.0,9.0,35.0,7.0,,,59.0,5.0,,,,2.0,1.0,,4.0,,5.0,,,,14.0,,,,2.0,,,,3.0,6.0,106.0,17.0,,,,,,,0.0,103.0,15.0,,,2.0,,,,0.0,,,4.0,0.0,,,2.0,,3.0,,,,,,,,0.0,0.0,,,84.0,,,,,5.0,,2.0,1.0,1.0,3.0,,1.0,,,7.0,,12.0,0.0,,9.0,,,,13.0,8.0,3.0,25.0,2.0,,,1.0,,,2.0,,3.0,,3.0,,,2.0,,,0.0,7.0,16.0,2.0,,0.0,,,,,3.0,11.0,0.0,,5.0,,,,,0.0,,,,,1.0,1.0,2.0,,,5.0,,0.0,1.0,,82.0,3.0,2.0,,,,,,,,5.0,,,,,,,,,0.0,,,1.0,1.0,,1.0,,42.0,,11.0,1.0,0.0,13.0,,1.0,9.0,,16.0,,22.0,,,323.0,40.0,,,72.0,,1.0,,,37.0,,5.0,18.0,,,1.0,,4.0,,,,,4.0,5.0,,7.0,,,,,,,,,7.0,,12.0,,3.0,99.0,10.0,,3.0,,,1.0,14.0,5.0,,1.0,,,,,,3.0,0.0,,,4.0,,,,3.0,4.0,0.0,,,,,,,,,,,3.0,,0.0,,,23.0,,,,10.0,16.0,,,,,15.0,,,,,1.0,26.0,,,1.0,21.0,,21.0,3.0,132.0,,,,,5.0,0.0,,,394.0,,,,,,1.0,,2.0,,32.0,0.0,5.0,77.0,,,,21.0,,,,0.0,0.0,,2.0,,2.0,0.0,21.0,51.0,,,,1.0,,,13.0,,51.0,,,,0.0,4.0,1.0,3.0,,,3.0,0.0,,,0.0,,,,,22.0,11.0,,57.0,,0.0,1.0,,1.0,,,25.0,,,,2899
,2.0,6.0,80.0,18.0,,1.0,0.0,,228.0,75.0,3.0,6.0,7.0,14.0,1956.0,35.0,9.0,1.0,18.0,0.0,,,1.0,54.0,16.0,20.0,116.0,37.0,,70.0,152.0,7.0,12.0,,2.0,8.0,,83.0,,5.0,,,,1.0,4.0,,0.0,14.0,,,,134.0,30.0,478.0,36.0,17.0,,0.0,28.0,,,24.0,165.0,349.0,,,0.0,,9.0,,16.0,,,15.0,9.0,,3.0,81.0,6.0,13.0,,,,,,,,6.0,1.0,,,1.0,,,,2.0,13.0,1.0,47.0,6.0,35.0,1.0,,8.0,0.0,5.0,9.0,,95.0,0.0,,235.0,,,0.0,,9.0,0.0,105.0,33.0,1.0,,127.0,,,24.0,,2.0,,55.0,25.0,0.0,88.0,,,0.0,1.0,463.0,4.0,,54.0,,,,,1.0,75.0,23.0,,9.0,119.0,,,27.0,1.0,7.0,7.0,21.0,2.0,6.0,12.0,26.0,,20.0,35.0,,366.0,22.0,,78.0,12.0,18.0,,,0.0,2.0,4.0,4.0,,26.0,,,2.0,,26.0,36.0,0.0,6.0,83.0,,5.0,7.0,0.0,107.0,1.0,,169.0,0.0,78.0,1.0,28.0,9.0,,1.0,285.0,,5.0,,2.0,,,109.0,770.0,,,0.0,1.0,22.0,,38.0,70.0,,12.0,15.0,13.0,,1139.0,13.0,37.0,,1.0,,,2.0,29.0,0.0,76.0,,29.0,7.0,1.0,0.0,0.0,,,20.0,1.0,872.0,2.0,51.0,615.0,50.0,3.0,9.0,,,3.0,58.0,265.0,0.0,2.0,,,0.0,,,14.0,64.0,,0.0,18.0,3.0,0.0,,0.0,1.0,9.0,,0.0,,,,0.0,,,3.0,,6.0,,149.0,,,30.0,0.0,,,56.0,1.0,13.0,2.0,71.0,0.0,128.0,7.0,,1.0,,11.0,3.0,,6.0,10.0,94.0,,244.0,6.0,190.0,2.0,,1.0,,3.0,28.0,,60.0,100.0,,,0.0,0.0,,2.0,,37.0,,0.0,10.0,45.0,254.0,97.0,14.0,,92.0,15.0,,3.0,17.0,0.0,0.0,0.0,,5.0,1.0,690.0,1753.0,56.0,,,1.0,,,26.0,2.0,652.0,,30.0,0.0,118.0,5.0,1.0,54.0,,2.0,3.0,4.0,,,18.0,0.0,,1.0,,217.0,30.0,,13.0,0.0,102.0,5.0,1.0,35.0,0.0,,2.0,,10.0,,17796
,,0.0,507.0,85.0,,,1.0,,1.0,0.0,0.0,1.0,159.0,0.0,27.0,387.0,20.0,0.0,0.0,0.0,,,0.0,,0.0,15.0,6.0,0.0,,4.0,1.0,,0.0,,12.0,,,0.0,,8.0,,,,0.0,,,,1.0,,,,0.0,2.0,8.0,5.0,7.0,,3.0,,,2.0,,0.0,1.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,0.0,,,0.0,,,1.0,,,,,2.0,1.0,,,0.0,,,,6.0,0.0,0.0,1.0,0.0,,14.0,,1.0,0.0,0.0,130.0,,1.0,1.0,,1.0,,,2.0,0.0,,0.0,1081.0,,21.0,,1.0,,,3.0,,0.0,,0.0,0.0,8.0,,,,0.0,22.0,3.0,0.0,,1.0,,,,,3.0,103.0,,,,0.0,,,0.0,21.0,,0.0,,,,0.0,,,,17.0,,4.0,,0.0,1.0,,2.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,,,0.0,,0.0,0.0,9.0,,1.0,,34.0,7.0,1.0,38.0,0.0,,,25.0,0.0,,3.0,,1.0,,,745.0,9.0,,,0.0,4.0,0.0,,5.0,0.0,,5.0,17.0,,2.0,359.0,,,,3.0,,,0.0,1.0,0.0,1.0,2.0,,0.0,0.0,19.0,2.0,3.0,,1.0,0.0,5.0,0.0,,4.0,340.0,,5.0,,,0.0,1.0,0.0,2.0,10.0,,,4.0,,,2.0,2.0,,1.0,0.0,0.0,4.0,,0.0,,1.0,4.0,0.0,,,,11.0,,0.0,,2.0,0.0,,3.0,,,0.0,10.0,,,1.0,0.0,,0.0,,0.0,1.0,,,0.0,,,1.0,,1.0,0.0,1.0,,4.0,14.0,1.0,0.0,,7.0,,15.0,0.0,,0.0,47.0,,,0.0,,,6.0,,1.0,,0.0,,,0.0,1.0,,,78.0,0.0,,0.0,2.0,0.0,0.0,1.0,,15.0,36.0,1.0,7.0,0.0,,,0.0,,,0.0,0.0,4.0,1.0,,,0.0,76.0,,4.0,,,16.0,16.0,0.0,,0.0,0.0,,20.0,,7.0,0.0,,58.0,7.0,0.0,5.0,0.0,0.0,47.0,,1.0,,,,4926
,,,2.0,7.0,,,,,3.0,0.0,,0.0,6.0,,67.0,9.0,0.0,1.0,1.0,,,,,,2.0,15.0,1.0,,,22.0,2.0,,,,2.0,0.0,,3.0,,3.0,,,,,,,,1.0,,,,2.0,3.0,27.0,8.0,,,,,,,,40.0,1.0,,,,,,,2.0,,,,,,,0.0,,2.0,,,,,,,,,,,,3.0,,,,,3.0,,,0.0,,1.0,,0.0,,,5.0,,6.0,,,4.0,,,0.0,3.0,5.0,,11.0,,1.0,,1.0,,,1.0,,2.0,,2.0,,,1.0,,,0.0,4.0,8.0,0.0,,,,,,,2.0,3.0,1.0,,1.0,,,,,1.0,,,,,,,1.0,,,3.0,,0.0,,,42.0,0.0,0.0,,,,0.0,,,,0.0,,,,,1.0,,,,,,,,0.0,,1.0,,12.0,,5.0,,0.0,5.0,,,1.0,,10.0,,19.0,,,89.0,17.0,,,0.0,0.0,,,,9.0,,1.0,8.0,0.0,,2.0,,3.0,,,,,11.0,1.0,,7.0,,,,0.0,0.0,,,,2.0,,5.0,,1.0,29.0,3.0,,,,,,5.0,3.0,,1.0,,,,,,,0.0,,,2.0,,,,1.0,0.0,,,,,,,,,,,,2.0,,,,,9.0,,,,4.0,0.0,,,,,6.0,,,,,0.0,4.0,,,,8.0,,7.0,3.0,43.0,,,,,2.0,0.0,,,160.0,,,,,,,,1.0,,,2.0,2.0,19.0,,,,10.0,,,,0.0,0.0,,,,1.0,1.0,8.0,26.0,,,,11.0,,,3.0,,23.0,,,,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,,6.0,4.0,,25.0,0.0,,1.0,,,,,2.0,,,,995
,,0.0,340.0,88.0,,0.0,0.0,,10.0,0.0,1.0,1.0,243.0,1.0,55.0,170.0,13.0,0.0,1.0,2.0,,,0.0,7.0,1.0,11.0,1.0,13.0,,6.0,2.0,0.0,3.0,,7.0,1.0,,4.0,,10.0,,,,0.0,0.0,,,20.0,,,,18.0,0.0,6.0,3.0,7.0,,1.0,,,0.0,3.0,1.0,1.0,1.0,,0.0,,0.0,0.0,1.0,,,0.0,0.0,,0.0,4.0,0.0,5.0,,,0.0,,,,,0.0,0.0,,,0.0,,,,0.0,1.0,0.0,2.0,0.0,0.0,6.0,,3.0,0.0,0.0,67.0,,0.0,0.0,,3.0,,,1.0,23.0,248.0,0.0,,0.0,27.0,,27.0,,,4.0,,1.0,,2.0,3.0,2.0,0.0,,,1.0,274.0,14.0,0.0,,1.0,,,,,0.0,26.0,4.0,,0.0,1.0,,,0.0,34.0,,0.0,,0.0,0.0,1.0,2.0,,0.0,19.0,,24.0,0.0,0.0,14.0,0.0,18.0,,,0.0,0.0,0.0,0.0,,1.0,1.0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,,2.0,,260.0,1.0,9.0,57.0,0.0,0.0,,20.0,4.0,,5.0,,4.0,,,991.0,8.0,,,0.0,2.0,9.0,,1.0,0.0,,18.0,17.0,0.0,1.0,592.0,0.0,0.0,,3.0,,,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,29.0,4.0,1.0,,9.0,1.0,30.0,0.0,1.0,23.0,310.0,0.0,1.0,,,0.0,8.0,2.0,2.0,4.0,,,3.0,,,1.0,6.0,,3.0,0.0,0.0,3.0,,0.0,3.0,0.0,1.0,0.0,,,,16.0,,0.0,,0.0,23.0,,26.0,,,1.0,5.0,,,6.0,1.0,,0.0,,0.0,10.0,0.0,,0.0,,0.0,0.0,,0.0,2.0,0.0,,12.0,8.0,0.0,0.0,,2.0,,20.0,2.0,,0.0,85.0,,,0.0,0.0,,5.0,,0.0,,0.0,0.0,2.0,1.0,12.0,0.0,,46.0,0.0,,0.0,9.0,0.0,0.0,0.0,,6.0,32.0,7.0,28.0,10.0,,,0.0,,,28.0,3.0,1.0,1.0,,,1.0,87.0,0.0,3.0,,0.0,8.0,5.0,0.0,,0.0,0.0,,42.0,,10.0,1.0,,62.0,1.0,1.0,0.0,0.0,18.0,28.0,,0.0,,0.0,,5052
,,3.0,37.0,20.0,,,,,102.0,189.0,,0.0,25.0,7.0,432.0,21.0,3.0,,16.0,,,,0.0,44.0,10.0,5.0,42.0,8.0,,40.0,31.0,2.0,,,1.0,,,12.0,,3.0,,,,,0.0,,,2.0,,,,166.0,5.0,79.0,3.0,3.0,,,,,,17.0,93.0,105.0,0.0,,,,1.0,,2.0,,,4.0,5.0,,,0.0,1.0,5.0,,,,,,,,0.0,0.0,,,,,,,,14.0,,17.0,3.0,126.0,3.0,,1.0,,2.0,26.0,,27.0,,,39.0,,,0.0,165.0,,,76.0,,,,13.0,,,7.0,,2.0,,14.0,1.0,0.0,142.0,,,,2.0,75.0,2.0,,15.0,,,,,0.0,42.0,23.0,,2.0,0.0,,,,1.0,,1.0,,2.0,1.0,4.0,0.0,,227.0,22.0,,41.0,91.0,,65.0,8.0,2.0,,,,1.0,1.0,0.0,,5.0,,,,,3.0,0.0,,0.0,260.0,,,0.0,,,,,188.0,,28.0,6.0,7.0,8.0,,1.0,124.0,,1.0,,0.0,,,65.0,168.0,,,0.0,,0.0,,15.0,23.0,,7.0,16.0,67.0,,298.0,2.0,88.0,,,,,0.0,5.0,,18.0,,,0.0,0.0,,,,,17.0,,209.0,2.0,12.0,137.0,41.0,,5.0,,,2.0,16.0,20.0,,2.0,,,,,,6.0,1.0,,,7.0,1.0,,,0.0,1.0,0.0,,,,,,1.0,,,,,18.0,,12.0,,,18.0,0.0,,,24.0,,,2.0,,,61.0,,,0.0,,9.0,1.0,,0.0,,3.0,,57.0,3.0,44.0,2.0,,,,1.0,2.0,,,41.0,,,,,,,,13.0,,,1.0,9.0,212.0,8.0,43.0,,37.0,65.0,,5.0,1.0,0.0,,0.0,,2.0,2.0,52.0,200.0,6.0,,,0.0,,,207.0,2.0,182.0,,,,0.0,4.0,0.0,7.0,,7.0,2.0,,,,6.0,,,2.0,,38.0,27.0,,6.0,,0.0,0.0,0.0,3.0,1.0,,0.0,,87.0,,6268
,,0.0,125.0,2.0,,0.0,4.0,,8.0,0.0,0.0,0.0,189.0,1.0,60.0,111.0,0.0,0.0,3.0,0.0,,,0.0,,9.0,3.0,26.0,2.0,,192.0,0.0,0.0,0.0,,1.0,,,7.0,,2.0,,,,0.0,,,,3.0,,,,1.0,31.0,292.0,26.0,13.0,,17.0,,,8.0,,36.0,31.0,1.0,,,,,7.0,1.0,,,2.0,1.0,,0.0,,0.0,6.0,,,6.0,,,,,0.0,0.0,,,0.0,,,,12.0,3.0,0.0,7.0,1.0,0.0,0.0,,2.0,7.0,,22.0,,12.0,0.0,,12.0,,,,0.0,139.0,0.0,255.0,0.0,,,4.0,,,2.0,,0.0,,6.0,,0.0,0.0,,,,157.0,146.0,1.0,,1.0,,,,,0.0,36.0,,,0.0,,,,0.0,83.0,,1.0,,0.0,2.0,2.0,,,,14.0,,3.0,0.0,5.0,66.0,6.0,2.0,,,,0.0,0.0,0.0,,6.0,1.0,,,,2.0,,,,0.0,,,0.0,26.0,,,,126.0,31.0,22.0,4.0,3.0,2.0,,4.0,7.0,,0.0,,0.0,,,266.0,140.0,,,0.0,0.0,1.0,,22.0,7.0,,16.0,3.0,,26.0,229.0,0.0,,,9.0,,,0.0,2.0,1.0,15.0,5.0,,0.0,0.0,74.0,31.0,8.0,,10.0,0.0,18.0,0.0,3.0,40.0,71.0,0.0,2.0,,,0.0,36.0,6.0,12.0,1.0,,,15.0,,,3.0,0.0,,10.0,5.0,3.0,7.0,,,6.0,0.0,18.0,,,,,1.0,,1.0,,7.0,6.0,,5.0,,,3.0,0.0,,,17.0,0.0,,1.0,,0.0,45.0,,,,,0.0,0.0,,1.0,0.0,69.0,,24.0,31.0,39.0,,,17.0,,1.0,2.0,,,21.0,,,2.0,0.0,,9.0,,25.0,,,0.0,4.0,38.0,4.0,0.0,,10.0,0.0,,0.0,1.0,0.0,,0.0,,2.0,103.0,22.0,115.0,1.0,,,0.0,,,0.0,0.0,83.0,11.0,,,0.0,220.0,0.0,2.0,,,5.0,52.0,5.0,,0.0,,,2.0,,104.0,10.0,,3.0,14.0,0.0,0.0,0.0,3.0,6.0,,0.0,,0.0,,4738
,17.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,1.0,,,,,,,,,,,,,4.0,28.0,,,,,,,22.0,,86.0,,,,,,11.0,,,,,,,,,,,0.0,,,,,17.0,,,,,,,,,5.0,,,,,,,,0.0,43.0,,0.0,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,124.0,,,,,,58.0,37.0,,14.0,4.0,,,,104.0,,1.0,,6.0,0.0,,,,,,,,,,,,0.0,55.0,,,,,,12.0,,,,,,3.0,,,,26.0,,,0.0,39.0,43.0,,12.0,,10.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,,,,,,,,,,,,,,,,39.0,,7.0,0.0,,,29.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,1.0,,,0.0,,,,,,,3.0,0.0,,,32.0,,,,82.0,,,,,,,,,,0.0,4.0,,35.0,,,,,,,0.0,,,1136
