Abbey Road,Acton Central,Acton Town,Aldgate,Aldgate East,All,All Saints,All_Dest,Alperton,Amersham,Anerley,Angel,Archway,Arnos Grove,Arsenal,Baker Street,Balham,Bank and Monument,Barbican,Barking,Barkingside,Barons Court,Bayswater,Beckton,Beckton Park,Becontree,Belsize Park,Bermondsey,Bethnal Green,Blackfriars,Blackhorse Road,Blackwall,Bond Street,Borough,Boston Manor,Bounds Green,Bow Church,Bow Road,Brent Cross,Brentwood,Brixton,Brockley,Bromley-by-Bow,Brondesbury,Brondesbury Park,Bruce Grove,Buckhurst Hill,Burnt Oak,Bush Hill Park,Bushey,Caledonian Road,Caledonian Road & Barnsbury,Cambridge Heath,Camden Road,Camden Town,Canada Water,Canary Wharf,Canning Town,Cannon Street,Canonbury,Canons Park,Carpenders Park,Chadwell Heath,Chalfont & Latimer,Chalk Farm,Chancery Lane,Charing Cross,Chesham,Cheshunt,Chigwell,Chingford,Chiswick Park,Chorleywood,Clapham Common,Clapham High Street,Clapham Junction,Clapham North,Clapham South,Clapton,Cockfosters,Colindale,Colliers Wood,Covent Garden,Crossharbour,Crouch Hill,Croxley,Crystal Palace,Custom House,Cutty Sark,Cyprus,Dagenham East,Dagenham Heathway,Dalston Junction,Dalston Kingsland,Debden,Denmark Hill,Deptford Bridge,Devons Road,Dollis Hill,Ealing Broadway,Ealing Common,Earl's Court,East Acton,East Finchley,East Ham,East India,East Putney,Eastcote,Edgware,Edgware Road,Edmonton Green,Elephant & Castle,Elm Park,Elverson Road,Embankment,Emerson Park,Enfield Town,Epping,Euston,Euston Square,Fairlop,Farringdon,Finchley Central,Finchley Road,Finchley Road & Frognal,Finsbury Park,Forest Gate,Forest Hill,Fulham Broadway,Gallions Reach,Gants Hill,Gidea Park,Gloucester Road,Golders Green,Goldhawk Road,Goodge Street,Goodmayes,Gospel Oak,Grange Hill,Great Portland Street,Green Park,Greenford,Greenwich,Gunnersbury,Hackney Central,Hackney Downs,Hackney Wick,Haggerston,Hainault,Hammersmith,Hampstead,Hampstead Heath,Hanger Lane,Harlesden,Harold Wood,Harringay Green Lanes,Harrow & Wealdstone,Harrow-on-the-Hill,Hatch End,Hatton Cross,Headstone Lane,Heathrow Terminal 4,Heathrow Terminal 5,Heathrow Terminals 2 & 3,Hendon Central,Heron Quays,High Barnet,High Street Kensington,Highams Park,Highbury & Islington,Highgate,Hillingdon,Holborn,Holland Park,Holloway Road,Homerton,Honor Oak Park,Hornchurch,Hounslow Central,Hounslow East,Hounslow West,Hoxton,Hyde Park Corner,Ickenham,Ilford,Imperial Wharf,Island Gardens,Kennington,Kensal Green,Kensal Rise,Kensington,Kentish Town,Kentish Town West,Kenton,Kew Gardens,Kilburn,Kilburn High Road,Kilburn Park,King George V,King's Cross St. Pancras,Kingsbury,Knightsbridge,Ladbroke Grove,Lambeth North,Lancaster Gate,Langdon Park,Latimer Road,Leicester Square,Lewisham,Leyton,Leyton Midland Road,Leytonstone,Leytonstone High Road,Limehouse,Liverpool Street,London Bridge,London City Airport,London Fields,Loughton,Maida Vale,Manor House,Manor Park,Mansion House,Marble Arch,Maryland,Marylebone,Mile End,Mill Hill East,Moor Park,Moorgate,Morden,Mornington Crescent,Mudchute,Neasden,New Cross,New Cross Gate,Newbury Park,North Acton,North Ealing,North Greenwich,North Harrow,North Wembley,Northfields,Northolt,Northwick Park,Northwood,Northwood Hills,Norwood Junction,Notting Hill Gate,Oakwood,Old Street,Osterley,Oval,Oxford Circus,Paddington,Park Royal,Parsons Green,Peckham Rye,Penge West,Perivale,Piccadilly Circus,Pimlico,Pinner,Plaistow,Pontoon Dock,Poplar,Preston Road,Prince Regent,Pudding Mill Lane,Putney Bridge,Queen's Park,Queens Road Peckham,Queensbury,Queensway,Ravenscourt Park,Rayners Lane,Rectory Road,Redbridge,Regent's Park,Richmond,Rickmansworth,Roding Valley,Romford,Rotherhithe,Royal Albert,Royal Oak,Royal Victoria,Ruislip,Ruislip Gardens,Ruislip Manor,Russell Square,Seven Kings,Seven Sisters,Shadwell,Shenfield,Shepherd's Bush,Shepherd's Bush Market,Shoreditch High Street,Silver Street,Sloane Square,Snaresbrook,South Acton,South Ealing,South Hampstead,South Harrow,South Kensington,South Kenton,South Quay,South Ruislip,South Tottenham,South Wimbledon,South Woodford,Southbury,Southfields,Southgate,Southwark,St James Street,St. James's Park,St. John's Wood,St. Paul's,Stamford Brook,Stamford Hill,Stanmore,Star Lane,Stepney Green,Stockwell,Stoke Newington,Stonebridge Park,Stratford,Stratford High Street,Stratford International,Sudbury Hill,Sudbury Town,Surrey Quays,Swiss Cottage,Sydenham,Temple,Theobalds Grove,Theydon Bois,Tooting Bec,Tooting Broadway,Tottenham Court Road,Tottenham Hale,Totteridge & Whetstone,Tower Gateway,Tower Hill,Tufnell Park,Turkey Street,Turnham Green,Turnpike Lane,Upminster,Upminster Bridge,Upney,Upper Holloway,Upton Park,Uxbridge,Vauxhall,Victoria,Walthamstow Central,Walthamstow Queens Road,Wandsworth Road,Wanstead,Wanstead Park,Wapping,Warren Street,Warwick Avenue,Waterloo,Watford,Watford High Street,Watford Junction,Wembley Central,Wembley Park,West Acton,West Brompton,West Croydon,West Finchley,West Ham,West Hampstead,West Harrow,West India Quay,West Kensington,West Ruislip,West Silvertown,Westbourne Park,Westferry,Westminster,White City,White Hart Lane,Whitechapel,Willesden Green,Willesden Junction,Wimbledon,Wimbledon Park,Wood Green,Wood Lane,Wood Street,Woodford,Woodgrange Park,Woodside Park,Woolwich Arsenal
,15.0,,,,523.0,,,,,,,,,,,,,,17.0,,,,,,,,,-30.0,,,,,,,,,,,,,,,13.0,,-22.0,,,-6.0,,,27.0,-24.0,43.0,,,,,,14.0,,,,,,,,,-6.0,,,,,,,80.0,,,13.0,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,-76.0,,,,,,,,25.0,,,,,,,,,,,,,22.0,,,,,,20.0,,-9.0,17.0,,,,,29.0,,,,12.0,,,,,,,,,,,,,8.0,,,,,,,24.0,,,,,,,,,,,,,,21.0,18.0,,15.0,,4.0,,,,,,,,,,,,,,,,9.0,,8.0,,-187.0,,,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.0,,,21.0,,,,,,,,,,,,,-962.0,,,,,,8.0,,,22.0,,,,,,,,,,,-23.0,,,,8.0,,,,,-57.0,,,,,-54.0,,156.0,,,,,,,,,-33.0,,,,,,,,,,-71.0,,,,,,19.0,,,,,,,,,11.0,,,,,,,,,,,23.0,,,,21.0,,,,,,,,,,-8.0,,,19.0,,,,,11.0,,7.0,,
,,-5.0,14.0,0.0,-905.0,,,2.0,2.0,,-175.0,-25.0,0.0,-1.0,-141.0,-64.0,-171.0,8.0,15.0,1.0,-25.0,3.0,,,2.0,-17.0,4.0,-13.0,26.0,4.0,,14.0,-3.0,2.0,-1.0,,2.0,0.0,,-19.0,,3.0,,,,2.0,-1.0,,,-16.0,,,,-59.0,34.0,-35.0,25.0,11.0,,3.0,,,5.0,-13.0,27.0,-124.0,2.0,,2.0,,-6.0,6.0,-66.0,,,-19.0,-86.0,,1.0,-17.0,-28.0,2.0,,,3.0,,,,,3.0,4.0,,,5.0,,,,1.0,-2.0,4.0,-20.0,-9.0,-5.0,1.0,,5.0,2.0,-1.0,-142.0,,,2.0,,-71.0,,,2.0,-47.0,33.0,1.0,58.0,-9.0,-6.0,,-19.0,,,-19.0,,-2.0,,-19.0,-10.0,-1.0,-44.0,,,1.0,26.0,5.0,2.0,,-8.0,,,,,1.0,-78.0,-6.0,,2.0,-19.0,,,-1.0,2.0,,1.0,,2.0,-1.0,-4.0,-17.0,,2.0,-35.0,,55.0,-4.0,2.0,42.0,-12.0,-22.0,,,3.0,0.0,2.0,-1.0,,-23.0,3.0,,,,1.0,-10.0,,14.0,-12.0,,7.0,2.0,-2.0,,-14.0,,-114.0,5.0,-70.0,-23.0,-6.0,5.0,,-5.0,-1.0,,-1.0,,-4.0,,,82.0,-324.0,,,4.0,-25.0,-2.0,,21.0,-28.0,,-129.0,-4.0,3.0,5.0,-427.0,-52.0,-13.0,,1.0,,,2.0,-18.0,1.0,-6.0,-1.0,-1.0,3.0,0.0,-7.0,4.0,1.0,,-31.0,2.0,-375.0,2.0,-22.0,-676.0,-326.0,-2.0,-11.0,,,-3.0,-494.0,2.0,1.0,3.0,,,2.0,,,-3.0,-59.0,,0.0,-9.0,-2.0,1.0,,1.0,-187.0,18.0,2.0,2.0,,,,-1.0,,2.0,2.0,3.0,-1.0,,5.0,,,-22.0,1.0,,,-37.0,2.0,,-6.0,,3.0,-99.0,3.0,,2.0,,-46.0,2.0,,4.0,3.0,23.0,,-12.0,-4.0,24.0,-10.0,,1.0,,-3.0,-26.0,,-7.0,41.0,,,2.0,2.0,,-12.0,,11.0,,1.0,-34.0,-145.0,-41.0,2.0,0.0,,9.0,-2.0,,-4.0,0.0,6.0,,3.0,,-2.0,-5.0,15.0,19.0,5.0,,,2.0,,,-29.0,-33.0,-145.0,7.0,,,-4.0,-4.0,1.0,2.0,,1.0,11.0,10.0,0.0,,-12.0,2.0,,-3.0,,24.0,-51.0,,24.0,-1.0,-7.0,,3.0,-10.0,9.0,,2.0,,1.0,
,,,,-17.0,9386.0,,,,,,29.0,,5.0,,67.0,22.0,249.0,35.0,-628.0,,13.0,,,,-22.0,15.0,7.0,2.0,-2.0,,,86.0,17.0,,,,-25.0,,,22.0,,-15.0,,,,1.0,,,,8.0,,,,29.0,70.0,125.0,21.0,-7.0,,,,,,,33.0,36.0,,,,,10.0,,11.0,,,,,,,12.0,5.0,22.0,,,,,,,,-31.0,-42.0,,,4.0,,,,,23.0,7.0,26.0,,,-41.0,,9.0,,,34.0,,18.0,,,19.0,,,1.0,87.0,45.0,,106.0,,20.0,,28.0,,,20.0,,3.0,,22.0,,,36.0,,,,32.0,124.0,,,21.0,,,,,,81.0,14.0,,9.0,,,,,16.0,,8.0,,,6.0,12.0,11.0,,6.0,24.0,,,,,89.0,12.0,7.0,,,-35.0,4.0,5.0,,,,,,,,4.0,,,,19.0,,,,12.0,,,,154.0,,30.0,12.0,2.0,10.0,,,43.0,,4.0,,7.0,,,164.0,109.0,,,2.0,,7.0,,8.0,22.0,,23.0,-6.0,,,113.0,8.0,16.0,,5.0,,,,19.0,,10.0,,,,4.0,10.0,,,,25.0,,64.0,,14.0,198.0,98.0,,14.0,,,,64.0,27.0,,-19.0,,,,,,14.0,,,,11.0,12.0,,,0.0,22.0,17.0,,,,,,,,,,,24.0,,42.0,,,44.0,,,,29.0,1.0,,,,,66.0,,,,,9.0,3.0,,7.0,,31.0,,34.0,20.0,45.0,,,,,-6.0,9.0,,,94.0,,,,,,13.0,,9.0,,,,20.0,73.0,15.0,2.0,,14.0,,,8.0,,-155.0,-68.0,-26.0,,-40.0,21.0,69.0,160.0,23.0,,,3.0,,,85.0,,92.0,,,,,28.0,,19.0,,,-51.0,28.0,,,7.0,,,8.0,,53.0,30.0,,-70.0,5.0,,26.0,,9.0,12.0,,2.0,,,
,,,,,2113.0,12.0,,,,,,,,,,,6.0,,,,,,12.0,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,21.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,23.0,7.0,24.0,,,,,,,-21.0,14.0,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-95.0,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,-2.0,,,,,,,,,,,,,,,,,,,,,,-101.0,,,,,33.0,,,57.0,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,35.0,,,,,87.0,,,,,,,,,,,,,,,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,24.0,,30.0,,,,,,,,,,,,,,,
,,3.0,6.0,-48.0,3819.0,,,4.0,2.0,,18.0,3.0,4.0,1.0,20.0,11.0,3.0,20.0,0.0,2.0,-24.0,-5.0,,,2.0,10.0,7.0,12.0,-71.0,11.0,,43.0,4.0,5.0,3.0,,0.0,3.0,,11.0,,0.0,,,,2.0,3.0,,,6.0,,,,0.0,26.0,121.0,21.0,-75.0,,3.0,,,5.0,5.0,35.0,8.0,2.0,,2.0,,-17.0,7.0,2.0,,,-3.0,5.0,,2.0,8.0,2.0,8.0,,,3.0,,,,,1.0,-5.0,,,5.0,,,,2.0,3.0,2.0,-65.0,7.0,2.0,-12.0,,2.0,2.0,2.0,11.0,,4.0,0.0,,,,,2.0,13.0,30.0,1.0,68.0,9.0,11.0,,19.0,,,-37.0,,2.0,,-90.0,8.0,2.0,-2.0,,,1.0,23.0,52.0,6.0,,-39.0,,,,,2.0,-97.0,9.0,,7.0,5.0,,,7.0,13.0,,6.0,,4.0,1.0,5.0,9.0,,5.0,-101.0,,62.0,4.0,2.0,46.0,6.0,4.0,,,3.0,3.0,4.0,2.0,,3.0,2.0,,,,-1.0,3.0,,13.0,7.0,,8.0,-3.0,7.0,,4.0,,67.0,2.0,12.0,8.0,-4.0,7.0,,5.0,9.0,,0.0,,5.0,,,76.0,61.0,,,4.0,2.0,5.0,,-105.0,11.0,,-17.0,4.0,4.0,5.0,47.0,-1.0,-3.0,,4.0,,,3.0,13.0,3.0,12.0,1.0,2.0,4.0,2.0,8.0,6.0,3.0,,-4.0,2.0,33.0,3.0,-3.0,40.0,-20.0,10.0,-20.0,,,3.0,1.0,9.0,2.0,-3.0,,,2.0,,,-15.0,4.0,,2.0,5.0,-12.0,2.0,,1.0,-1.0,15.0,6.0,2.0,,,,4.0,,2.0,2.0,3.0,12.0,,28.0,,,28.0,1.0,,,-212.0,3.0,,3.0,,3.0,-337.0,2.0,,2.0,,7.0,4.0,,-1.0,3.0,20.0,,-385.0,4.0,34.0,-6.0,,5.0,,-4.0,2.0,,3.0,113.0,,,2.0,2.0,,8.0,,-58.0,,1.0,5.0,10.0,-5.0,11.0,0.0,,-111.0,0.0,,-17.0,3.0,5.0,6.0,2.0,,-9.0,18.0,33.0,16.0,17.0,,,3.0,,,0.0,-5.0,-13.0,7.0,,,5.0,21.0,3.0,-145.0,,1.0,10.0,19.0,1.0,,-33.0,2.0,,4.0,,-34.0,22.0,,1.0,3.0,10.0,19.0,2.0,7.0,7.0,,2.0,,4.0,
,,,,,-111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,721.0,,,,,,,,,,,,,,22.0,,,,,,,,,-25.0,,,,,,,,,,,,,,,13.0,,-35.0,,,-3.0,,,29.0,-12.0,47.0,,,,,,,,,,,,,,,3.0,,,,,,,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40.0,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,29.0,,,,,,21.0,,13.0,18.0,,,,,36.0,,,,,,,,,,,,,,,,,8.0,,,,,,,26.0,,,,,,,,,,,,,,22.0,18.0,,16.0,,,,,,,,,,,,,,,,,,11.0,,10.0,,-371.0,,,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,22.0,,,,,,,,,,,,,-712.0,,,,,,-64.0,,,,,,,,,,,,,,,,,,9.0,,,,,-28.0,,,,,-21.0,,171.0,,,,,,,,,7.0,,,,,,,,,,14.0,,,,,,21.0,,,,,,,,,10.0,,,,,,,,,,,24.0,,,,26.0,,,,,,,,,,-25.0,,,20.0,,,,,12.0,,7.0,,
,,12.0,38.0,18.0,10283.0,,,,,,27.0,13.0,,2.0,72.0,22.0,153.0,30.0,23.0,0.0,16.0,,,,3.0,15.0,7.0,-14.0,50.0,,,55.0,15.0,,,,5.0,3.0,,21.0,,4.0,,,,-13.0,,,,8.0,,,,31.0,80.0,132.0,43.0,,,,,,,10.0,-20.0,24.0,,,0.0,,,,12.0,,,4.0,9.0,,,11.0,,21.0,,,,,,,,4.0,6.0,,,-81.0,,,,,22.0,,35.0,9.0,7.0,6.0,,10.0,,,32.0,,21.0,2.0,,46.0,,,,84.0,47.0,-2.0,105.0,11.0,,,32.0,,,21.0,,0.0,,25.0,,,41.0,,,1.0,37.0,130.0,6.0,,24.0,,,,,-1.0,88.0,15.0,,7.0,,,,,17.0,,,,,5.0,13.0,10.0,,,24.0,,107.0,5.0,,37.0,11.0,7.0,,,,,,,,9.0,,,,,,,,,20.0,,,3.0,11.0,,6.0,,135.0,,26.0,12.0,7.0,0.0,,7.0,39.0,,-10.0,,-14.0,,,-58.0,111.0,,,-69.0,,6.0,,,-2.0,,20.0,-1.0,,,126.0,,16.0,,,,,-1.0,15.0,,20.0,,,,,,,,,24.0,,68.0,,12.0,144.0,98.0,,13.0,,,3.0,60.0,25.0,,5.0,,,,,,11.0,13.0,,,10.0,,,,-2.0,19.0,24.0,,,,,,,,,,,25.0,,48.0,,,27.0,,,,34.0,-13.0,,,,,68.0,,,,,9.0,-23.0,,,4.0,33.0,,50.0,20.0,-62.0,,,,,5.0,9.0,,,-222.0,,,,,,15.0,,37.0,,-31.0,7.0,18.0,27.0,,,,20.0,,,,5.0,7.0,,1.0,,6.0,22.0,63.0,128.0,,,,2.0,,,80.0,,73.0,,,,8.0,28.0,4.0,25.0,,,19.0,31.0,,,9.0,,,,,60.0,27.0,,16.0,,23.0,33.0,,10.0,,,-22.0,,,
,10.0,3.0,-55.0,7.0,-9346.0,,,4.0,2.0,,-210.0,-68.0,0.0,-5.0,33.0,2.0,-1757.0,-12.0,14.0,1.0,-7.0,4.0,,,1.0,-46.0,-5.0,-6.0,-84.0,-26.0,,-21.0,-140.0,-2.0,-9.0,,3.0,-5.0,,-66.0,,2.0,,,,1.0,-1.0,,14.0,-9.0,,,,-121.0,29.0,-302.0,12.0,-1.0,,3.0,-18.0,,,-20.0,-125.0,-331.0,,,2.0,,-1.0,,-8.0,,,-10.0,-3.0,,-1.0,-72.0,-2.0,-2.0,,,,,,,,-2.0,4.0,,,4.0,,,,2.0,6.0,4.0,-25.0,1.0,-30.0,7.0,,0.0,2.0,-1.0,11.0,,-76.0,2.0,,-209.0,,,3.0,,14.0,1.0,-43.0,-25.0,11.0,,-108.0,,,-10.0,,1.0,,-39.0,-17.0,2.0,-73.0,,,1.0,19.0,-396.0,2.0,,-38.0,,,,,1.0,-12.0,-15.0,,-1.0,-111.0,,,-20.0,12.0,-4.0,-1.0,-10.0,2.0,-1.0,-1.0,-18.0,,-16.0,-18.0,,-311.0,-19.0,,-24.0,-4.0,-13.0,,,3.0,1.0,0.0,-2.0,,-19.0,,,27.0,,-22.0,-33.0,17.0,7.0,-74.0,,2.0,-4.0,8.0,-99.0,3.0,,-111.0,5.0,-59.0,7.0,-24.0,-2.0,,4.0,-264.0,,1.0,,6.0,,,39.0,-680.0,,,4.0,3.0,-18.0,,-10.0,-54.0,,1.0,-3.0,-9.0,,-1071.0,-7.0,-31.0,,3.0,,,1.0,-15.0,3.0,-55.0,,-27.0,-2.0,2.0,8.0,6.0,,,-3.0,1.0,-831.0,1.0,-42.0,-519.0,9.0,7.0,1.0,,,0.0,-24.0,-249.0,2.0,2.0,,,2.0,,,-5.0,-57.0,,2.0,-11.0,6.0,2.0,,1.0,10.0,8.0,,2.0,,,,4.0,,,-1.0,,5.0,,-118.0,,,0.0,2.0,,,-32.0,2.0,5.0,1.0,-65.0,3.0,-82.0,-5.0,,1.0,,-3.0,1.0,,0.0,-6.0,-64.0,,-206.0,7.0,-152.0,2.0,,4.0,,4.0,-22.0,,-56.0,41.0,,,2.0,2.0,,7.0,,-17.0,,1.0,-5.0,-29.0,-213.0,-85.0,-12.0,,-67.0,-13.0,,4.0,-13.0,7.0,7.0,3.0,,1.0,17.0,-641.0,-1662.0,-37.0,,,2.0,,,0.0,3.0,-588.0,,-7.0,37.0,-112.0,17.0,2.0,-37.0,,-1.0,15.0,15.0,,,-12.0,2.0,,4.0,,-175.0,-6.0,,34.0,3.0,-88.0,19.0,2.0,-28.0,8.0,,1.0,,-6.0,
,,9.0,-482.0,-60.0,3018.0,,,,1.0,,17.0,8.0,3.0,0.0,-128.0,17.0,175.0,-363.0,3.0,2.0,11.0,3.0,,,2.0,,11.0,-1.0,29.0,11.0,,51.0,11.0,,3.0,,-7.0,,,17.0,,-1.0,,,,2.0,,,,4.0,,,,17.0,57.0,169.0,43.0,9.0,,0.0,,,3.0,,41.0,19.0,2.0,,2.0,,8.0,7.0,8.0,,,,,,2.0,,,12.0,,,2.0,,,,,2.0,4.0,,,5.0,,,,-2.0,19.0,5.0,22.0,7.0,,-6.0,,7.0,2.0,4.0,-113.0,,20.0,1.0,,29.0,,,1.0,40.0,,1.0,-1018.0,,-10.0,,18.0,,,12.0,,3.0,,17.0,8.0,-6.0,,,,1.0,-9.0,74.0,6.0,,15.0,,,,,-1.0,-41.0,,,,8.0,,,7.0,-9.0,,6.0,,,,11.0,,,,0.0,,52.0,,2.0,54.0,,3.0,,,3.0,3.0,4.0,2.0,,8.0,2.0,,,,,3.0,,,10.0,,7.0,3.0,-2.0,,3.0,,27.0,-2.0,20.0,-31.0,4.0,,,-21.0,24.0,,3.0,,7.0,,,-595.0,82.0,,,4.0,0.0,4.0,,24.0,18.0,,5.0,-5.0,,3.0,-290.0,,,,0.0,,,3.0,13.0,3.0,20.0,-1.0,,5.0,3.0,-11.0,4.0,0.0,,16.0,2.0,37.0,3.0,,113.0,-289.0,,6.0,,,3.0,37.0,18.0,0.0,-5.0,,,-2.0,,,8.0,5.0,,1.0,8.0,9.0,-2.0,,1.0,,16.0,2.0,2.0,,,,-8.0,,2.0,,1.0,12.0,,28.0,,,30.0,-8.0,,,25.0,3.0,,3.0,,3.0,48.0,,,2.0,,,3.0,,5.0,4.0,31.0,,37.0,-3.0,37.0,4.0,,-2.0,,-8.0,6.0,,4.0,94.0,,,2.0,,,2.0,,21.0,,1.0,,,51.0,11.0,,,-53.0,2.0,,6.0,2.0,7.0,7.0,2.0,,-9.0,-18.0,51.0,94.0,20.0,,,3.0,,,41.0,4.0,67.0,6.0,,,6.0,-55.0,,14.0,,,2.0,1.0,1.0,,6.0,2.0,,-15.0,,39.0,24.0,,-11.0,-4.0,15.0,20.0,4.0,7.0,-40.0,,2.0,,,
,,,37.0,30.0,10289.0,,,,,,35.0,12.0,,2.0,69.0,,250.0,33.0,24.0,0.0,15.0,,,,,,13.0,4.0,51.0,,,83.0,16.0,,,,4.0,4.0,,20.0,,5.0,,,,,,,,9.0,,,,30.0,74.0,186.0,45.0,,,,,,,,35.0,34.0,,,,,,,9.0,,,,,,,12.0,,20.0,,,,,,,,,,,,1.0,,,,,22.0,,,9.0,,7.0,,11.0,,,30.0,,24.0,,,46.0,,,3.0,86.0,45.0,,107.0,,18.0,,29.0,,,20.0,,0.0,,24.0,,,39.0,,,0.0,36.0,126.0,7.0,,,,,,,-1.0,89.0,13.0,,10.0,,,,,15.0,,,,,,,11.0,,,24.0,,96.0,,,66.0,13.0,8.0,,,,4.0,,,,13.0,,,,,6.0,,,,,,,,11.0,,6.0,,150.0,,29.0,,7.0,7.0,,,43.0,,-5.0,,-12.0,,,149.0,120.0,,,3.0,7.0,,,,24.0,,22.0,7.0,6.0,,112.0,,15.0,,,,,-10.0,18.0,,17.0,,,,4.0,10.0,,,,27.0,,67.0,,13.0,194.0,97.0,,,,,,63.0,24.0,,4.0,,,,,,,12.0,,,11.0,,,,0.0,21.0,,,,,,,,,,,,24.0,,,,,38.0,,,,36.0,3.0,,,,,70.0,,,,,10.0,-1.0,,,,41.0,,58.0,18.0,20.0,,,,,6.0,9.0,,,-12.0,,,,,,,,34.0,,,5.0,19.0,76.0,,,,27.0,,,,5.0,7.0,,,,6.0,20.0,70.0,138.0,,,,-9.0,,,82.0,,90.0,,,,7.0,30.0,5.0,26.0,,,20.0,,,,,,,,,69.0,32.0,,40.0,5.0,,31.0,,,,,1.0,,,
,,10.0,-320.0,-68.0,3192.0,,,5.0,2.0,,10.0,8.0,2.0,0.0,-200.0,15.0,96.0,-157.0,9.0,2.0,11.0,2.0,,,2.0,3.0,8.0,1.0,27.0,-2.0,,57.0,8.0,5.0,0.0,,-3.0,2.0,,12.0,,-4.0,,,,1.0,4.0,,,-15.0,,,,0.0,52.0,154.0,41.0,5.0,,2.0,,,5.0,2.0,42.0,21.0,1.0,,2.0,,8.0,7.0,6.0,,,5.0,6.0,,2.0,5.0,4.0,7.0,,,3.0,,,,,3.0,5.0,,,5.0,,,,4.0,19.0,5.0,22.0,7.0,5.0,1.0,,5.0,2.0,4.0,-46.0,,18.0,2.0,,27.0,,,2.0,22.0,-222.0,1.0,,9.0,-14.0,,-7.0,,,12.0,,1.0,,16.0,6.0,0.0,22.0,,,0.0,-252.0,69.0,6.0,,16.0,,,,,2.0,42.0,5.0,,8.0,7.0,,,7.0,-21.0,,7.0,,4.0,5.0,10.0,7.0,,5.0,0.0,,36.0,4.0,2.0,46.0,9.0,-13.0,,,3.0,3.0,4.0,2.0,,7.0,2.0,,,,4.0,3.0,,15.0,11.0,,8.0,3.0,6.0,,2.0,,-187.0,4.0,13.0,-49.0,4.0,8.0,,-15.0,22.0,,0.0,,3.0,,,-883.0,65.0,,,4.0,2.0,-4.0,,21.0,20.0,,-4.0,-6.0,5.0,5.0,-545.0,6.0,10.0,,1.0,,,3.0,12.0,3.0,19.0,-2.0,2.0,5.0,4.0,-21.0,2.0,2.0,,10.0,1.0,5.0,3.0,8.0,107.0,-247.0,10.0,10.0,,,3.0,33.0,17.0,0.0,0.0,,,-1.0,,,9.0,2.0,,-1.0,8.0,9.0,-1.0,,1.0,10.0,18.0,5.0,1.0,,,,-12.0,,2.0,,3.0,-10.0,,6.0,,,32.0,-3.0,,,22.0,2.0,,4.0,,3.0,42.0,2.0,,2.0,,8.0,3.0,,6.0,2.0,28.0,,30.0,5.0,33.0,4.0,,3.0,,-14.0,4.0,,4.0,44.0,,,2.0,2.0,,5.0,,21.0,,1.0,5.0,14.0,54.0,0.0,2.0,,-26.0,2.0,,7.0,-5.0,6.0,6.0,3.0,,0.0,-14.0,47.0,80.0,9.0,,,2.0,,,17.0,2.0,66.0,6.0,,,5.0,-64.0,4.0,16.0,,1.0,9.0,15.0,1.0,,6.0,2.0,,-37.0,,37.0,25.0,,-23.0,2.0,15.0,25.0,4.0,-11.0,-20.0,,3.0,,4.0,
